dog_breed;category;datadog_score;popularity_inUS_ranking;longevity;grooming_required;suitability_for_children;size_category;intelligence_category;lifetime_costs;average_purchase_price;price_category
Border Collie;herding;3,64;39;12,52;2;3;medium;Brightest;17404;623;budget
Border Terrier;terrier;3,61;61;14,00;2;1;small;Above average;19575;833;midprice
Brittany;sporting;3,54;30;12,92;2;2;medium;Excellent;19503;618;budget
Cairn Terrier;terrier;3,53;48;13,84;2;1;small;Above average;18965;435;budget
Welsh Springer Spaniel;sporting;3,34;81;12,49;2;1;medium;Above average;17492;750;midprice
English Cocker Spaniel;sporting;3,33;51;11,66;2;1;medium;Excellent;16442;800;midprice
Cocker Spaniel;sporting;3,3;27;12,50;2;1;small;Excellent;19888;465;budget
Papillon;toy;3,26;33;13,00;2;2;small;Brightest;18157;740;midprice
Australian Cattle Dog;herding;3,25;49;11,67;2;3;medium;Brightest;17607;530;budget
Shetland Sheepdog;herding;3,22;20;12,53;1;1;small;Brightest;17469;465;budget
Siberian Husky;working;3,22;16;12,58;3;1;medium;Average;19043;650;budget
Lhasa Apso;non-sporting;3,21;50;13,92;2;1;small;Fair;18985;350;budget
Affenpinscher;toy;3,2;84;11,42;2;2;small;Above average;15835;510;budget
Dachshund;hound;3,19;9;12,63;2;3;small;Average;17350;423;budget
Miniature Schnauzer;terrier;3,19;12;11,81;2;2;small;Excellent;16753;715;midprice
Chihuahua;toy;3,15;14;16,50;2;3;small;Fair;22640;588;budget
Australian Terrier;terrier;3,11;77;11,05;2;2;small;Above average;15475;640;budget
Whippet;hound;3,11;46;12,87;2;2;medium;Average;18160;915;midprice
English Springer Spaniel;sporting;3,09;29;12,54;2;1;medium;Excellent;18950;615;budget
West Highland White Terrier;terrier;3,08;32;12,80;2;1;small;Average;17690;538;budget
Bedlington Terrier;terrier;3,07;83;13,51;2;2;small;Average;19151;1058;midprice
Poodle;non-sporting;3,04;8;11,95;2;2;medium;Brightest;18382;900;midprice
Bichon Frise;non-sporting;3,03;34;12,21;1;1;small;Average;17063;693;budget
German Shorthaired Pointer;sporting;3,03;15;11,46;2;1;large;Excellent;20849;545;budget
Pointer;sporting;3,03;74;12,42;2;1;large;Average;21049;294;budget
Tibetan Spaniel;non-sporting;3,02;73;14,42;2;1;small;Average;22104;1050;midprice
Labrador Retriever;sporting;2,97;1;12,04;2;1;medium;Brightest;18422;810;midprice
Maltese;toy;2,93;23;12,25;1;3;small;Fair;16073;650;budget
Pomeranian;toy;2,93;17;9,67;2;2;small;Excellent;13677;670;budget
Shih Tzu;toy;2,93;11;13,20;1;1;small;Lowest;18264;583;budget
Australian Shepherd;herding;2,91;24;12,28;2;2;medium;Average;18524;565;budget
Yorkshire Terrier;toy;2,85;5;12,60;1;3;small;Above average;17944;1057;midprice
Irish Setter;sporting;2,84;56;11,63;2;1;large;Above average;17544;525;budget
Pharaoh Hound;hound;2,81;86;11,83;2;2;medium;Above average;18221;913;midprice
Brussels Griffon;toy;2,8;59;12,00;2;3;small;Fair;16925;833;midprice
Golden Retriever;sporting;2,8;4;12,04;2;1;medium;Brightest;18571;958;midprice
Samoyed;working;2,8;55;12,44;2;1;medium;Above average;21951;1162;midprice
Beagle;hound;2,79;3;12,30;1;1;small;Lowest;16777;288;budget
Chesapeake Bay Retriever;sporting;2,78;40;9,48;2;1;large;Above average;14432;522;budget
Tibetan Terrier;non-sporting;2,75;64;12,31;2;2;small;Fair;17643;1140;midprice
Gordon Setter;sporting;2,73;69;11,10;2;1;large;Above average;16953;700;midprice
English Setter;sporting;2,72;65;11,57;2;1;large;Above average;17548;615;budget
Pug;toy;2,72;26;11,00;2;1;medium;Fair;15421;469;budget
Briard;herding;2,71;79;11,17;1;1;large;Above average;17004;650;budget
Norfolk Terrier;terrier;2,71;76;13,07;2;2;small;Fair;21185;2083;highend
FlatCoated Retriever;sporting;2,7;67;9,02;1;1;medium;Excellent;13845;600;budget
Boston Terrier;non-sporting;2,61;22;10,92;2;1;medium;Average;15352;690;budget
Doberman Pinscher;working;2,59;13;10,33;2;2;large;Brightest;15929;790;midprice
English Toy Spaniel;toy;2,59;80;10,10;2;2;small;Average;14670;925;midprice
Belgian Tervuren;herding;2,57;72;10,60;2;1;large;Excellent;16600;1070;midprice
Cavalier King Charles Spaniel;toy;2,57;21;11,29;2;1;small;Average;16169;1017;midprice
Dalmatian;non-sporting;2,57;57;11,27;2;1;medium;Above average;17194;695;budget
Basset Hound;hound;2,54;36;11,43;2;1;small;Lowest;15827;490;budget
Basenji;hound;2,51;68;13,58;2;2;medium;Lowest;19125;940;midprice
Italian Greyhound;toy;2,49;53;10,02;2;3;small;Fair;14270;800;midprice
Staffordshire Bull Terrier;terrier;2,48;58;12,05;2;1;medium;Average;18772;1145;midprice
Bouvier des Flandres;herding;2,47;62;10,34;2;1;large;Above average;16489;1335;midprice
Pembroke Welsh Corgi;herding;2,45;25;12,25;2;1;small;Excellent;19625;587;budget
Clumber Spaniel;sporting;2,44;82;10,00;2;1;medium;Above average;15695;1033;midprice
Dandie Dinmont Terrier;terrier;2,42;87;12,17;1;1;small;Fair;18725;925;midprice
Saluki;hound;2,41;75;12,00;1;1;medium;Average;21585;1525;highend
Giant Schnauzer;working;2,38;70;10,00;1;2;large;Above average;21307;810;midprice
Greyhound;hound;2,29;85;9,36;2;1;large;Average;13771;1175;midprice
Scottish Terrier;terrier;2,27;45;10,69;1;2;small;Fair;15187;829;midprice
Rottweiler;working;2,24;10;9,11;2;2;large;Brightest;16395;1118;midprice
Kerry Blue Terrier;terrier;2,13;78;9,40;1;2;medium;Above average;14994;1200;midprice
Afghan Hound;hound;2,08;66;11,92;1;1;large;Lowest;20818;890;midprice
Newfoundland;working;2,07;37;9,32;2;1;large;Above average;16802;1178;midprice
