name;owner;parameters;date;owner_simplified
BERT;Google;0,34;2018-10-01;Google
GPT-2;OpenAI;1,50;2019-02-01;OpenAI
T5;Google;11,00;2019-10-01;Google
Megatron-11B;Meta / Facebook;11,00;2020-04-01;Meta/Facebook
BlenderBot1;Meta / Facebook;9,40;2020-04-01;Meta/Facebook
GPT-3;OpenAI;175,00;2020-05-01;OpenAI
Wu Dao 2.0;Beijing Academy of AI;1750,00;2021-01-01;Other
GPT-J;EleutherAI;6,00;2021-06-01;Other
PanGu-Alpha;Huawei;200,00;2021-04-01;Other
LaMDA;Google;137,00;2021-06-01;Google
BlenderBot2.0;Meta / Facebook;9,40;2021-07-01;Meta/Facebook
Jurassic-1;AI21;178,00;2021-08-01;Other
Codex;OpenAI;12,00;2021-08-01;OpenAI
FLAN;Google;137,00;2021-09-01;Google
PLATO-XL;Baidu;11,00;2021-09-01;Other
WeLM;WeChat;10,00;2022-09-01;Other
xlarge;Cohere;52,40;2021-09-01;Other
Megatron-Turing NLG;Meta / Facebook;530,00;2021-10-01;Meta/Facebook
MT-NLG;Microsoft;530,00;2021-10-01;Other
BERT-200;Google;200,00;2021-11-01;Google
BERT-480;Google;480,00;2021-11-01;Google
Luminous;Aleph Alpha;200,00;2021-11-01;Other
Ernie 3.0 Titan;Baidu;260,00;2021-12-01;Other
GLaM;Google;1200,00;2021-12-01;Google
Gopher;Google Deepmind;280,00;2021-12-01;Other
GPT-NeoX;EleutherAI;20,00;2022-02-01;Other
GPT Neo;EleutherAI;2,70;2022-02-01;Other
Chinchilla;DeepMind;70,00;2022-03-01;Other
CodeGen;Salesforce;16,00;2022-03-01;Other
InCoder;Meta;6,70;2022-04-01;Meta/Facebook
mGPT;Sber;13,00;2022-04-01;Other
PaLM;Google;540,00;2022-04-01;Google
OPT-IML;Meta AI;175,00;2022-05-01;Meta/Facebook
Minerva;Google;540,00;2022-06-01;Google
YaLM 100B;Yandex;100,00;2022-06-01;Other
BLOOM;BigScience;175,00;2022-07-01;Other
FIM 6.9B;OpenAI;6,90;2022-07-01;OpenAI
NLLB-200;Meta AI;54,50;2022-07-01;Meta/Facebook
GLM-130B;Tsinghua & Zhipu;130,00;2022-08-01;Other
Atlas;Meta;11,00;2022-08-01;Meta/Facebook
BlenderBot3;Meta / Facebook;175,00;2022-08-01;Meta/Facebook
AlexaTM;Amazon;20,00;2022-08-01;Amazon
PaLI;Google;17,00;2022-09-01;Google
Sparrow;Google;70,00;2022-09-01;Google
MT5;Google;13,00;2022-10-01;Google
Galactica;Meta / Facebook;120,00;2022-11-01;Meta/Facebook
ChatGPT;OpenAI;12,00;2022-11-01;OpenAI
